id,language,SI_dm,SI_hm,SI_dep_dl,SI_double_dl,SI_head_dl,SI_zero_dl
afr,Afrikaans,1,0,2.34665382763601,NA,NA,NA
ara,Arabic,1,0,1.83056905919359,NA,NA,NA
bul,Bulgarian,1,0,2.27510791366906,NA,NA,NA
cat,Catalan,1,0,2.64155464276824,NA,NA,NA
ces_cac,Czech,0.84307738891272,0,1.74572010056267,NA,NA,1.83711207589645
ces_fictree,Czech,0.933405639913232,0,1.42528468510342,NA,NA,1.60912052117264
ces_pdt,Czech,0.865122237006733,0,1.70698896961767,NA,NA,1.75977324596923
chu,Old Church Slavonic,0.981313400961025,0,1.09357997823721,NA,NA,1.45714285714286
cmn,Chinese,0.917970401691332,0,2.95485951174574,NA,NA,2.58247422680412
dan,Danish,0.998949579831933,0,1.83333333333333,NA,NA,2
deu,German,1,0,2.18225676762262,NA,NA,NA
ell,Greek,1,0,1.97031403336605,NA,NA,NA
eng_edt,Estonian,0.712136830450884,0,1.45494022409264,NA,NA,1.33249336870027
eng_ewt,English,1,0,2.2672296377009,NA,NA,NA
eng_gum,English,1,0,2.48185274801244,NA,NA,NA
eng_lines,English,1,0,2.24139452780229,NA,NA,NA
eng_partut,English,1,0,3.11387631975867,NA,NA,NA
eus,Basque,0.998396579369321,0,1.24304068522484,NA,NA,2
fas,Persian,0,1,NA,NA,1.2411264681072,NA
fin_ftb,Finnish,0.729109539616106,0.307692307692308,1.36655546288574,1.16796875,NA,1
fin_tdt,Finnish,0.805332664660649,0.21815446339017,1.38607933283438,1.18085106382979,NA,1
fra_gsd,French,1,0,2.62009483627674,NA,NA,NA
fra_sequoia,French,1,0,2.97627872498147,NA,NA,NA
got,Gothic,1,0,1.12457912457912,NA,NA,NA
grc_perseus,Ancient Greek,1,0,2.27519818799547,NA,NA,NA
grc_proiel,Ancient Greek,1,0,2.27110956036288,NA,NA,NA
heb,Hebrew,1,0,2.59004975124378,NA,NA,NA
hin,Hindi,1,0,2.51068247636741,NA,NA,NA
hrv,Croatian,0.906921594782866,0,1.68957345971564,NA,NA,1.80095541401274
hun,Hungarian,0,1,NA,NA,1.93982808022923,NA
ind,Indonesian,0,0.250931920737689,NA,NA,2.54054054054054,3.74096385542169
ita_isdt,Italian,1,0,2.7520913001912,NA,NA,NA
ita_partut,Italian,1,0,2.67962542565267,NA,NA,NA
ita_postwita,Italian,1,0,2.53974238140119,NA,NA,NA
jpn,Japanese,1,0,2.61185257744582,NA,NA,NA
kor_gsd,Korean,1,0,1.76654115115654,NA,NA,NA
kor_kaist,Korean,1,0,1.32591529073941,NA,NA,NA
lat_ittb,Latin,0.926784763932183,0,1.27973748974569,NA,NA,1.39563862928349
lat_proiel,Latin,0.963517305893358,0,1.31572815533981,NA,NA,1.29230769230769
lav,Latvian,0.944964678823723,0,1.3144123783032,NA,NA,1.34776119402985
nld_alpino,Dutch,1,0,2.95357928170046,NA,NA,NA
nld_lassysmall,Dutch,1,0,2.93524057217165,NA,NA,NA
nno,Norwegian,0.99735194992778,0,1.88076273231958,NA,NA,1.09090909090909
nob,Norwegian,0.99809493570408,0,1.69922061396533,NA,NA,1.41666666666667
pol_lfg,Polish,0.959721713658001,0,1.18504387638306,NA,NA,1.22727272727273
pol_sz,Polish,0.958597976946601,0,1.26331288343558,NA,NA,1.23863636363636
por,Portuguese,1,0,2.85227928447778,NA,NA,NA
ron_nonstandard,Romanian,1,0,1.12139052425007,NA,NA,NA
ron_rrt,Romanian,1,0,1.8069696969697,NA,NA,NA
rus_gsd,Russian,0.915762151958471,0,1.77827879412523,NA,NA,1.7156862745098
rus_syntagrus,Russian,0.955343010592676,0,1.66454728256252,NA,NA,1.32687064525901
slk,Slovak,0.993792675356921,0,1.63522798251093,NA,NA,1.46666666666667
slv,Slovenian,0.975847654435671,0,1.63921941932413,NA,NA,1.34615384615385
spa_ancora,Spanish,1,0,2.44571006866457,NA,NA,NA
spa_gsd,Spanish,1,0,2.64025152738576,NA,NA,NA
srp,Serbian,0.936650679456435,0,1.66929805845957,NA,NA,1.9211356466877
swe_lines,Swedish,0.992600422832981,0,1.6384451544196,NA,NA,1.14285714285714
swe_talbanken,Swedish,0.994266994266994,0,1.68822075782537,NA,NA,1.28571428571429
tur,Turkish,0.3888354186718,1,NA,1.89108910891089,1.4488188976378,NA
uig,Uyghur,0.279275653923541,0.808450704225352,1.7575,1.84013605442177,1.25547445255474,1.22368421052632
ukr,Ukrainian,0.868770764119601,0,1.74202088542433,NA,NA,1.88120740019474
urd,Urdu,1,0,2.76024500510427,NA,NA,NA
vie,Vietnamese,0.689165186500888,0,3.1159793814433,NA,NA,1.30285714285714
